ProductCategory,StockCode,Description,OrderCount,UnitsSold,TotalRevenue,AvgUnitPrice,UniqueCustomers
Christmas & Seasonal,22945,CHRISTMAS METAL TAGS ASSORTED ,136,2863,2401.03,0.89,118
Uncategorised,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,249,1845,2400.45,1.32,177
Home Décor,23542,WALL ART 70'S ALPHABET ,55,334,2399.58,8.06,44
Home Décor,21411,GINGHAM HEART  DOORSTOP RED,185,722,2391.46,3.88,147
Toys & Games,22175,PINK OWL SOFT TOY,139,841,2384.95,2.94,84
Uncategorised,22794,SWEETHEART WIRE MAGAZINE RACK,157,300,2373.0,7.94,114
Home Décor,23535,BICYCLE SAFTEY WALL ART,39,458,2371.94,5.78,38
Kitchenware & Dining,22937,BAKING MOULD CHOCOLATE CUPCAKES,133,917,2363.99,2.61,119
Home Décor,21903,MAN FLU METAL SIGN,153,1129,2360.58,2.24,113
Uncategorised,22327,ROUND SNACK BOXES SET OF 4 SKULLS,162,832,2358.4,2.94,106
Stationery & Cards,21495,SKULLS AND CROSSBONES WRAP,165,5800,2356.0,0.42,102
Kitchenware & Dining,23292,SPACEBOY CHILDRENS CUP,159,1952,2344.32,1.27,112
Home Décor,21116,OWL DOORSTOP,117,489,2339.19,4.95,81
Christmas & Seasonal,23131,MISTLETOE HEART WREATH CREAM,103,576,2336.28,4.21,86
Uncategorised,84568,GIRLS ALPHABET IRON ON PATCHES ,23,12480,2332.8,0.2,18
Stationery & Cards,16156S,WRAP PINK FAIRY CAKES ,167,5800,2331.0,0.42,135
Uncategorised,22644,CERAMIC CHERRY CAKE MONEY BANK,188,2052,2328.78,1.34,146
Home Décor,23341,PINK DINER WALL CLOCK,98,282,2325.6,8.46,75
Candles & Lighting,21730,GLASS STAR FROSTED T-LIGHT HOLDER,119,498,2324.14,4.93,79
Uncategorised,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,97,2007,2322.27,1.24,56
Stationery & Cards,22610,PENS ASSORTED FUNNY FACE,171,9146,2320.58,0.23,123
Toys & Games,23570,TRADITIONAL PICK UP STICKS GAME ,231,1846,2307.5,1.25,203
Bags & Accessories,22902,TOTE BAG I LOVE LONDON,94,1212,2306.58,2.05,71
Uncategorised,21110,LARGE CAKE TOWEL PINK SPOTS,78,775,2295.05,5.48,62
Uncategorised,22927,GREEN GIANT GARDEN THERMOMETER,129,395,2278.25,5.93,94
Toys & Games,22380,TOY TIDY SPACEBOY  ,195,1156,2274.75,2.13,114
Christmas & Seasonal,23437, 50'S CHRISTMAS GIFT BAG LARGE,109,1885,2272.25,1.25,106
Uncategorised,22933,BAKING MOULD EASTER EGG MILK CHOC,91,876,2272.2,2.92,82
Home Décor,23412,HEART MIRROR ANTIQUE WHITE,71,351,2269.14,7.39,64
Home Décor,22691,DOORMAT WELCOME SUNRISE,95,344,2268.64,7.94,65
Home Décor,23526,WALL ART DOG LICENCE ,62,474,2265.18,5.85,57
Candles & Lighting,23048,SET OF 10 LANTERNS FAIRY LIGHT STAR,85,564,2264.74,4.19,81
Toys & Games,22437,SET OF 9 BLACK SKULL BALLOONS,173,2727,2263.35,0.85,140
Uncategorised,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,233,1757,2255.93,1.41,161
Uncategorised,22215,CAKE STAND WHITE TWO TIER LACE,89,330,2254.5,7.41,71
Toys & Games,22440,BALLOON WATER BOMB PACK OF 35,138,5897,2254.14,0.42,100
Uncategorised,35004B,SET OF 3 BLACK FLYING DUCKS,47,475,2251.15,5.1,30
Kitchenware & Dining,21875,KINGS CHOICE MUG,111,2000,2249.56,1.37,83
Uncategorised,46000S,POLYESTER FILLER PAD 40x40cm,182,1551,2248.95,1.45,128
Stationery & Cards,20983,12 PENCILS TALL TUBE RED RETROSPOT,234,2652,2247.96,0.85,185
Uncategorised,23400,SHELF WITH 4 HOOKS HOME SWEET HOME,95,448,2247.36,6.15,76
Stationery & Cards,23196,VINTAGE LEAF MAGNETIC NOTEPAD,211,1596,2247.0,1.44,159
Stationery & Cards,23489,VINTAGE BELLS GARLAND,127,784,2246.56,2.89,116
Uncategorised,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,145,1852,2242.52,1.25,82
Candles & Lighting,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,132,1380,2234.67,1.67,97
Kitchenware & Dining,22426,ENAMEL WASH BOWL CREAM,144,660,2231.8,3.66,104
Home Décor,22672,FRENCH BATHROOM SIGN BLUE METAL,158,1382,2227.62,1.66,125
Home Décor,23316,RED REFECTORY CLOCK ,95,236,2222.2,9.82,75
Uncategorised,21107,CREAM SLICE FLANNEL PINK SPOT ,62,840,2218.8,2.87,48
Uncategorised,23054,RECYCLED ACAPULCO MAT LAVENDER,109,268,2206.2,8.24,81
Uncategorised,23498,CLASSIC BICYCLE CLIPS ,86,1591,2205.95,1.44,77
Stationery & Cards,23188,VINTAGE  2 METRE FOLDING RULER,127,1322,2199.34,1.74,102
Candles & Lighting,23079,TOADSTOOL BEDSIDE LIGHT ,103,248,2198.6,8.94,82
Uncategorised,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,139,612,2194.64,3.81,103
Home Décor,22670,FRENCH WC SIGN BLUE METAL,208,1754,2193.99,1.27,141
Uncategorised,23330,DECORATIVE WICKER HEART MEDIUM,195,1761,2193.69,1.25,158
Uncategorised,22329,ROUND CONTAINER SET OF 5 RETROSPOT,151,1387,2182.95,1.64,103
Uncategorised,22241,GARLAND WOODEN HAPPY EASTER,165,1788,2180.28,1.25,125
Candles & Lighting,84832,ZINC WILLIE WINKIE  CANDLE STICK,188,2607,2176.95,0.87,137
Uncategorised,22776,SWEETHEART 3 TIER CAKE STAND ,122,222,2174.1,9.93,99
Uncategorised,23265,SET OF 3 WOODEN TREE DECORATIONS,246,1680,2172.46,1.32,180
Stationery & Cards,22704,WRAP RED APPLES ,173,5275,2167.5,0.42,129
Kitchenware & Dining,21896,POTTING SHED TWINE,89,949,2158.5,2.11,79
Home Décor,22660,DOORMAT I LOVE LONDON,69,327,2157.33,7.93,56
Home Décor,23401,RUSTIC MIRROR WITH LACE HEART,70,443,2155.51,6.09,59
Uncategorised,23406,HOME SWEET HOME KEY HOLDER,94,435,2154.79,6.14,65
Kitchenware & Dining,22476,EMPIRE UNION JACK TV DINNER TRAY,78,811,2150.77,4.96,61
Uncategorised,21592,RETROSPOT CIGAR BOX MATCHES ,210,2151,2150.71,1.13,156
Home Décor,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,286,2609,2148.23,0.86,198
Uncategorised,23445,ICE CREAM BUBBLES,94,2667,2147.61,0.83,81
Uncategorised,22064,PINK DOUGHNUT TRINKET POT ,164,1608,2142.6,1.64,85
Home Décor,23232,WRAP VINTAGE LEAF DESIGN,134,5326,2140.92,0.42,118
Stationery & Cards,21625,VINTAGE UNION JACK APRON,113,307,2140.19,6.99,97
Uncategorised,21452,TOADSTOOL MONEY BOX,133,745,2140.15,2.94,109
Christmas & Seasonal,35961,FOLKART ZINC HEART CHRISTMAS DEC,153,2692,2138.44,0.85,116
Kitchenware & Dining,23252,VINTAGE RED ENAMEL TRIM JUG ,123,582,2138.34,3.74,104
Home Décor,22030,SWALLOWS GREETING CARD,242,5361,2130.63,0.42,179
Home Décor,23093,SMALL PARISIENNE HEART PHOTO FRAME ,123,916,2125.16,2.47,105
Candles & Lighting,21313,GLASS HEART T-LIGHT HOLDER ,129,2843,2110.46,0.83,96
Toys & Games,23501,KEY RING BASEBALL BOOT UNION JACK,85,1772,2105.8,1.24,77
Home Décor,23233,WRAP POPPIES  DESIGN,158,5175,2105.5,0.42,130
Kitchenware & Dining,22548,HEADS AND TAILS SPORTING FUN,179,1873,2097.96,1.26,149
Home Décor,22378,WALL TIDY RETROSPOT ,103,1685,2092.56,1.84,69
Candles & Lighting,23046,PAPER LANTERN 9 POINT DELUXE STAR,34,347,2091.55,6.62,31
Uncategorised,22425,ENAMEL COLANDER CREAM,141,434,2086.11,4.96,110
Uncategorised,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,64,830,2084.1,3.99,51
Uncategorised,21982,PACK OF 12 SUKI TISSUES ,259,7346,2083.58,0.34,182
Stationery & Cards,23504,PLAYING CARDS JUBILEE UNION JACK,190,1668,2082.48,1.25,164
Home Décor,23526,DOG LICENCE WALL ART,29,408,2081.64,5.75,28
Bags & Accessories,21934,SKULL SHOULDER BAG,143,1288,2081.2,1.65,85
Candles & Lighting,85175,CACTI T-LIGHT CANDLES,130,5217,2078.66,0.42,84
Christmas & Seasonal,22737,RIBBON REEL CHRISTMAS PRESENT ,187,1227,2075.39,1.74,148
Stationery & Cards,22983,CARD BILLBOARD FONT,332,5038,2072.79,0.43,223
Home Décor,23536,VILLAGE SHOW WALL ART,18,386,2072.42,5.74,17
Candles & Lighting,21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,73,761,2072.15,2.92,59
Kitchenware & Dining,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,87,145,2070.95,14.77,74
Kitchenware & Dining,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,167,994,2069.4,2.1,130
Home Décor,22829,SWEETHEART WIRE WALL TIDY,97,215,2066.75,9.86,80
Christmas & Seasonal,23436,VINTAGE CHRISTMAS GIFT BAG LARGE ,83,1781,2066.65,1.24,82
Uncategorised,21794,CLASSIC FRENCH STYLE BASKET NATURAL,93,501,2064.47,4.4,79
Home Décor,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,361,4491,2063.29,0.48,189
Uncategorised,23029,DRAWER KNOB CRACKLE GLAZE GREEN,136,1272,2060.4,1.65,97
Uncategorised,22283,6 EGG HOUSE PAINTED WOOD,117,258,2058.94,8.02,82
Kitchenware & Dining,21239,PINK  POLKADOT CUP,201,2574,2051.4,0.85,141
Kitchenware & Dining,21069,VINTAGE BILLBOARD TEA MUG,51,1868,2049.05,1.24,35
Home Décor,37448,CERAMIC CAKE DESIGN SPOTTED MUG,154,1404,2043.0,1.48,78
Novelty & Gifts,22128,PARTY CONES CANDY ASSORTED,72,1729,2042.69,1.24,62
Uncategorised,22483,RED GINGHAM TEDDY BEAR ,130,726,2041.78,2.98,91
Bags & Accessories,23438, RED SPOT GIFT BAG LARGE,92,1700,2041.0,1.25,82
Christmas & Seasonal,22573,STAR WOODEN CHRISTMAS DECORATION,154,2445,2040.81,0.91,127
Kitchenware & Dining,22070,SMALL RED RETROSPOT MUG IN BOX ,84,874,2034.43,3.89,62
Stationery & Cards,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,148,867,2030.61,2.81,115
Uncategorised,22185,SLATE TILE NATURAL HANGING,126,1428,2029.7,1.59,111
Kitchenware & Dining,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,92,1369,2028.05,2.31,82
Uncategorised,22653,BUTTON BOX ,118,1072,2022.66,1.94,73
Christmas & Seasonal,22075,6 RIBBONS ELEGANT CHRISTMAS ,120,1565,2019.23,1.52,96
Home Décor,23543,KEEP CALM WALL ART ,20,269,2015.97,7.95,19
Stationery & Cards,20978,36 PENCILS TUBE SKULLS,179,1631,2014.43,1.25,133
Kitchenware & Dining,22196,SMALL HEART MEASURING SPOONS,247,2385,2013.73,0.87,146
Uncategorised,23152,IVORY SWEETHEART WIRE LETTER RACK ,149,545,2013.51,3.74,108
Uncategorised,21781,MA CAMPAGNE CUTLERY BOX,81,138,2012.5,14.87,51
Christmas & Seasonal,22959,WRAP CHRISTMAS VILLAGE,140,4876,2003.92,0.42,133
Uncategorised,21980,PACK OF 12 RED RETROSPOT TISSUES ,250,6523,2003.31,0.33,192
Uncategorised,22920,HERB MARKER BASIL,188,3329,2000.35,0.65,133
Kitchenware & Dining,23326,HANGING MINI COLOURED BOTTLES,55,3370,2000.22,0.62,52
Uncategorised,23031,DRAWER KNOB CRACKLE GLAZE PINK,136,1234,1997.7,1.65,93
Home Décor,82581,TOILET METAL SIGN,302,3749,1997.13,0.56,172
Candles & Lighting,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,110,1018,1994.26,2.14,70
Home Décor,23302,KNEELING MAT HOUSEWORK  DESIGN,187,1481,1993.91,1.58,140
Candles & Lighting,84950,ASSORTED COLOUR T-LIGHT HOLDER,87,3361,1990.97,0.68,66
Candles & Lighting,23490,T-LIGHT HOLDER HANGING LOVE BIRD,95,539,1988.13,3.74,83
Candles & Lighting,22811,SET OF 6 T-LIGHTS CACTI ,55,775,1987.93,3.01,37
Uncategorised,23424,GINGHAM RECIPE BOOK BOX,103,413,1986.75,4.93,87
Candles & Lighting,85174,S/4 CACTI CANDLES,80,497,1985.67,5.03,55
Novelty & Gifts,20751,FUNKY WASHING UP GLOVES ASSORTED,171,973,1984.26,2.1,127
Uncategorised,23403,LETTER HOLDER HOME SWEET HOME,110,596,1984.06,3.71,80
Kitchenware & Dining,21078,SET/20 STRAWBERRY PAPER NAPKINS ,201,2494,1982.08,0.85,148
Christmas & Seasonal,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,78,1435,1981.63,1.52,68
Uncategorised,22914,BLUE COAT RACK PARIS FASHION,134,428,1979.64,4.93,106
Uncategorised,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,152,2397,1973.75,0.85,120
Candles & Lighting,22224,WHITE LOVEBIRD LANTERN,115,688,1973.6,2.91,89
Home Décor,22059,CERAMIC STRAWBERRY DESIGN MUG,142,1749,1973.17,1.3,85
Novelty & Gifts,37500,TEA TIME TEAPOT IN GIFT BOX,80,338,1972.46,6.27,53
Stationery & Cards,20977,36 PENCILS TUBE WOODLAND,142,1597,1971.93,1.25,111
Home Décor,23396,LE JARDIN BOTANIQUE CUSHION COVER,139,527,1970.73,3.75,114
Kitchenware & Dining,23020,GLASS  SONGBIRD STORAGE JAR,69,165,1965.3,12.34,65
Christmas & Seasonal,23352,ROLL WRAP 50'S RED CHRISTMAS ,162,1596,1964.76,1.25,151
Uncategorised,22935,BAKING MOULD ROSE MILK CHOCOLATE,52,673,1964.25,3.16,46
Uncategorised,21900,"KEY FOB , SHED",265,3087,1963.03,0.69,166
Uncategorised,22831,WHITE BROCANTE SOAP DISH,104,684,1960.2,2.95,91
Home Décor,11001,ASSTD DESIGN RACING CAR PEN,62,1252,1953.0,1.85,44
Uncategorised,22863,SOAP DISH BROCANTE,93,693,1948.35,2.93,77
Uncategorised,23227,FILIGREE HEART BUTTERFLY WHITE ,87,1592,1947.06,1.27,61
Bags & Accessories,23374,RED SPOT PAPER GIFT BAG,122,2444,1944.08,0.82,108
Candles & Lighting,23360,SET 8 CANDLES VINTAGE DOILY,100,1029,1941.75,1.94,88
Kitchenware & Dining,23251,VINTAGE RED ENAMEL TRIM MUG ,101,1634,1941.7,1.24,80
Uncategorised,22824,3 TIER SWEETHEART GARDEN SHELF,43,55,1938.25,35.67,42
Uncategorised,22478,BIRDHOUSE GARDEN MARKER ,76,1417,1936.85,1.26,59
Kitchenware & Dining,22932,BAKING MOULD TOFFEE CUP CHOCOLATE,63,866,1935.6,2.5,50
Toys & Games,23500,KEY RING BASEBALL BOOT ASSORTED ,84,1585,1935.05,1.24,76
Uncategorised,21993,FLORAL FOLK STATIONERY SET,205,1366,1934.85,1.52,151
Bags & Accessories,21033,JUMBO BAG CHARLIE AND LOLA TOYS,108,922,1934.75,2.32,75
Home Décor,22509,SEWING BOX RETROSPOT DESIGN ,80,205,1931.75,11.57,71
Uncategorised,22121,NOEL WOODEN BLOCK LETTERS ,114,333,1930.89,6.06,94
Christmas & Seasonal,22732,3D VINTAGE CHRISTMAS STICKERS ,126,1522,1930.38,1.34,102
Uncategorised,22955,36 FOIL STAR CAKE CASES ,106,1005,1929.14,2.01,91
Stationery & Cards,85049G,CHOCOLATE BOX RIBBONS ,227,1580,1926.33,1.27,161
Kitchenware & Dining,22973,CHILDREN'S CIRCUS PARADE MUG,110,1192,1924.48,1.67,81
Uncategorised,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,122,1574,1924.18,1.25,77
Christmas & Seasonal,23213,STAR WREATH DECORATION WITH BELL,121,1595,1923.19,1.24,95
Uncategorised,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,180,1332,1921.24,1.54,113
Home Décor,23231,WRAP DOILEY DESIGN,162,4675,1915.5,0.42,124
Stationery & Cards,21506,"FANCY FONT BIRTHDAY CARD, ",250,4740,1910.88,0.42,171
Uncategorised,21811,HANGING HEART WITH BELL,138,4113,1907.83,0.56,106
Stationery & Cards,22080,RIBBON REEL POLKADOTS ,126,1182,1902.3,1.65,116
Stationery & Cards,22744,MAKE YOUR OWN MONSOON CARD KIT,146,833,1898.83,2.68,123
Uncategorised,23161,REGENCY CAKE FORK,68,1608,1896.6,1.23,58
Candles & Lighting,23145,ZINC T-LIGHT HOLDER STAR LARGE,148,2030,1896.54,0.96,126
Uncategorised,84880,WHITE WIRE EGG HOLDER,65,303,1896.15,7.06,51
Home Décor,23315,IVORY REFECTORY CLOCK,76,202,1894.7,9.83,63
Christmas & Seasonal,16169E,WRAP 50'S  CHRISTMAS,149,4563,1892.46,0.42,143
Candles & Lighting,22792,FLUTED ANTIQUE CANDLE HOLDER,128,2313,1888.31,0.86,100
Christmas & Seasonal,22592,CARDHOLDER HOLLY WREATH METAL,91,506,1886.08,3.93,79
Bags & Accessories,22374,AIRLINE BAG VINTAGE JET SET RED,156,448,1882.84,4.26,108
Uncategorised,35004C,SET OF 3 COLOURED  FLYING DUCKS,38,393,1882.65,5.24,28
Christmas & Seasonal,22733,3D TRADITIONAL CHRISTMAS STICKERS,141,1471,1882.31,1.33,119
Kitchenware & Dining,23291,DOLLY GIRL CHILDRENS CUP,144,1549,1881.39,1.27,104
Bags & Accessories,22996,TRAVEL CARD WALLET VINTAGE TICKET,292,4552,1880.16,0.42,155
Uncategorised,22931,BAKING MOULD HEART WHITE CHOCOLATE,110,794,1878.61,2.55,95
Candles & Lighting,23274,STAR T-LIGHT HOLDER WILLIE WINKIE,98,1142,1875.06,1.74,85
Stationery & Cards,21249,WOODLAND  HEIGHT CHART STICKERS ,79,672,1874.4,2.91,68
Candles & Lighting,40016,CHINESE DRAGON PAPER LANTERNS,75,5524,1870.7,0.51,54
Candles & Lighting,71459,HANGING JAM JAR T-LIGHT HOLDERS,69,2413,1867.33,0.85,61
Bags & Accessories,20992,JAZZ HEARTS PURSE NOTEBOOK,244,4365,1867.05,0.46,162
Uncategorised,22763,KEY CABINET MA CAMPAGNE,93,191,1865.65,9.9,76
Stationery & Cards,23491,VINTAGE JINGLE BELLS HEART,76,226,1864.5,8.25,64
Uncategorised,23068,ALUMINIUM STAMPED HEART,124,775,1862.51,2.48,100
Uncategorised,21556,CERAMIC STRAWBERRY MONEY BOX,47,804,1859.4,2.52,38
Kitchenware & Dining,23289,DOLLY GIRL CHILDRENS BOWL,141,1553,1854.85,1.25,111
Christmas & Seasonal,22574,HEART WOODEN CHRISTMAS DECORATION,157,2124,1854.54,0.9,131
Home Décor,22897,OVEN MITT APPLES DESIGN,172,1298,1850.66,1.55,135
Kitchenware & Dining,23357,HOT WATER BOTTLE SEX BOMB,88,435,1843.55,4.45,79
Kitchenware & Dining,37450,CERAMIC CAKE BOWL + HANGING CAKES,98,668,1841.0,2.89,47
Home Décor,23075,PARLOUR CERAMIC WALL HOOK,72,448,1840.0,4.14,56
Kitchenware & Dining,23235,STORAGE TIN VINTAGE LEAF,93,705,1838.13,2.74,86
Kitchenware & Dining,23094,LE GRAND TRAY CHIC SET,74,147,1837.5,12.5,65
Kitchenware & Dining,22859,EASTER TIN BUNNY BOUQUET,127,1150,1832.7,1.65,111
Uncategorised,23066,SMALL DECO JEWELLERY STAND,70,229,1831.65,8.23,63
Christmas & Seasonal,22601,CHRISTMAS RETROSPOT ANGEL WOOD,150,2238,1827.42,0.9,121
Uncategorised,47504K,ENGLISH ROSE GARDEN SECATEURS,174,1958,1826.78,1.09,141
Stationery & Cards,22736,RIBBON REEL MAKING SNOWMEN ,152,1102,1825.46,1.72,130
Christmas & Seasonal,22571,ROCKING HORSE RED CHRISTMAS ,176,2207,1813.55,0.85,152
Stationery & Cards,23367,SET 12 COLOUR PENCILS SPACEBOY ,231,2785,1807.85,0.65,184
Uncategorised,21042,RED RETROSPOT APRON ,105,303,1802.85,5.95,71
Uncategorised,22291,HANGING CHICK CREAM DECORATION,90,1243,1802.35,1.45,72
Toys & Games,22747,POPPY'S PLAYHOUSE BATHROOM,169,879,1800.9,2.1,123
Uncategorised,21034,REX CASH+CARRY JUMBO SHOPPER,859,1893,1798.35,0.95,480
Candles & Lighting,22807,SET OF 6 T-LIGHTS TOADSTOOLS,107,676,1796.64,2.78,74
Bags & Accessories,23005,TRAVEL CARD WALLET I LOVE LONDON,175,4396,1788.72,0.42,105
Stationery & Cards,84968A,SET OF 16 VINTAGE ROSE CUTLERY,48,147,1787.85,12.68,32
Stationery & Cards,10135,COLOURING PENCILS BROWN TUBE,117,1938,1786.69,1.2,92
Home Décor,21622,VINTAGE UNION JACK CUSHION COVER,92,364,1785.0,4.94,76
Home Décor,22412,METAL SIGN NEIGHBOURHOOD WITCH ,113,877,1784.7,2.09,73
Stationery & Cards,23371,SET 36 COLOUR PENCILS SPACEBOY ,133,1505,1783.97,1.24,98
Uncategorised,21112,SWISS ROLL TOWEL PINK  SPOTS,27,666,1782.18,3.16,21
Uncategorised,22536,MAGIC DRAWING SLATE PURDEY,144,4721,1782.18,0.41,109
Uncategorised,22477,WATERING CAN GARDEN MARKER,70,1290,1778.1,1.26,63
Stationery & Cards,51014A,"FEATHER PEN,HOT PINK",157,3621,1777.61,0.51,106
Uncategorised,37446,MINI CAKE STAND WITH HANGING CAKES,148,1297,1775.05,1.43,93
Uncategorised,21916,SET 12 RETRO WHITE CHALK STICKS,248,4363,1771.54,0.43,156
Uncategorised,23028,DRAWER KNOB CRACKLE GLAZE BLUE,111,1085,1761.69,1.66,87
Uncategorised,21584,RETROSPOT SMALL TUBE MATCHES,146,1066,1754.9,1.65,119
Kitchenware & Dining,21873,IF YOU CAN'T STAND THE HEAT MUG,88,1586,1752.34,1.28,62
Candles & Lighting,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,75,968,1749.94,4.01,54
Uncategorised,21990,MODERN FLORAL STATIONERY SET,177,1219,1745.05,1.5,127
Stationery & Cards,22710,WRAP I LOVE LONDON ,100,4425,1742.5,0.42,79
Christmas & Seasonal,22593,CHRISTMAS GINGHAM STAR,138,2049,1736.97,0.91,106
Uncategorised,23128,FELTCRAFT BOY JEAN-PAUL KIT,117,354,1735.98,4.98,103
Uncategorised,15044D,RED PAPER PARASOL,73,630,1735.74,2.96,53
Uncategorised,22534,MAGIC DRAWING SLATE SPACEBOY ,202,4331,1735.5,0.42,172
Uncategorised,22788,BROCANTE COAT RACK,46,205,1734.05,9.82,33
Kitchenware & Dining,22639,SET OF 4 NAPKIN CHARMS HEARTS,127,763,1733.37,2.48,101
Stationery & Cards,22588,CARD HOLDER GINGHAM HEART,135,605,1732.41,2.95,110
Uncategorised,22119,PEACE WOODEN BLOCK LETTERS,103,348,1731.36,6.16,82
Uncategorised,23228,FILIGREE HEART BIRD WHITE ,78,1397,1726.3,1.39,58
Stationery & Cards,22186,RED STAR CARD HOLDER,118,801,1723.79,2.32,111
Candles & Lighting,23090,VINTAGE GLASS T-LIGHT HOLDER,122,2130,1723.62,0.86,96
Candles & Lighting,23359,SET OF 12 T-LIGHTS VINTAGE DOILY,70,918,1721.7,1.93,67
Stationery & Cards,22712,CARD DOLLY GIRL ,213,4319,1721.37,0.44,141
Kitchenware & Dining,21845,DAIRY MAID STRIPE MUG,82,1907,1721.09,1.1,63
Uncategorised,22562,MONSTERS STENCIL CRAFT,190,1398,1720.42,1.26,149
Candles & Lighting,22466,FAIRY TALE COTTAGE NIGHT LIGHT,81,913,1719.15,1.94,74
Kitchenware & Dining,22858,EASTER TIN KEEPSAKE,110,1081,1718.85,1.64,103
Uncategorised,22803,IVORY EMBROIDERED QUILT ,25,46,1715.9,38.1,18
Uncategorised,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,230,2070,1715.7,0.83,142
Stationery & Cards,20982,12 PENCILS TALL TUBE SKULLS,215,2019,1709.91,0.85,158
Home Décor,22115,METAL SIGN EMPIRE TEA,183,1495,1706.81,1.5,152
Uncategorised,21114,LAVENDER SCENTED FABRIC HEART,128,1352,1705.28,1.32,105
Stationery & Cards,22027,TEA PARTY BIRTHDAY CARD,262,4165,1702.79,0.42,180
Uncategorised,21471,STRAWBERRY RAFFIA FOOD COVER,92,495,1702.65,3.72,77
Uncategorised,21041,RED RETROSPOT OVEN GLOVE DOUBLE,138,576,1699.2,2.95,100
Uncategorised,23073,GEORGIAN TRINKET BOX,59,142,1694.0,12.41,49
Uncategorised,21586,KINGS CHOICE GIANT TUBE MATCHES,66,731,1691.25,2.5,54
Kitchenware & Dining,23358,HOT STUFF HOT WATER BOTTLE,67,528,1689.9,3.44,61
Stationery & Cards,16161U,WRAP SUKI AND FRIENDS,134,4075,1687.5,0.42,105
Uncategorised,21564,PINK  HEART SHAPE LOVE BUCKET ,103,1016,1686.52,2.74,63
Uncategorised,23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,111,2106,1679.34,0.82,84
Candles & Lighting,23109,LED TEA LIGHTS,54,596,1679.24,2.88,54
Kitchenware & Dining,21989,PACK OF 20 SKULL PAPER NAPKINS,205,2068,1675.24,0.85,130
Kitchenware & Dining,21870,I CAN ONLY PLEASE ONE PERSON MUG,137,1357,1668.89,1.25,97
Kitchenware & Dining,23160,REGENCY TEA SPOON,60,1404,1666.8,1.23,50
Christmas & Seasonal,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,276,4808,1665.16,0.41,226
Uncategorised,22055,MINI CAKE STAND  HANGING STRAWBERY,142,1248,1665.08,1.46,102
Kitchenware & Dining,21988,PACK OF 6 SKULL PAPER PLATES,147,2194,1663.3,0.84,101
Uncategorised,51008,AFGHAN SLIPPER SOCK PAIR,19,511,1662.95,3.42,16
Stationery & Cards,21992,VINTAGE PAISLEY STATIONERY SET,199,1163,1658.69,1.53,160
Uncategorised,70006,LOVE HEART POCKET WARMER,78,2620,1657.7,1.24,72
Uncategorised,21917,SET 12 KIDS  WHITE CHALK STICKS,186,4095,1653.24,0.43,132
Kitchenware & Dining,20674,GREEN POLKADOT BOWL,149,1373,1649.06,1.25,101
Home Décor,22414,DOORMAT NEIGHBOURHOOD WITCH ,70,253,1645.67,8.29,37
Uncategorised,22832,BROCANTE SHELF WITH HOOKS,69,155,1645.45,10.73,64
Uncategorised,47570B,TEA TIME TABLE CLOTH,26,180,1642.68,10.4,23
Bags & Accessories,21056,DOCTOR'S BAG SOFT TOY,66,174,1640.18,9.75,46
Kitchenware & Dining,21068,VINTAGE BILLBOARD LOVE/HATE MUG,125,1535,1637.71,1.22,81
Christmas & Seasonal,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,134,1792,1632.4,0.9,129
Kitchenware & Dining,23096,PETIT TRAY CHIC,117,1007,1629.83,1.73,89
Uncategorised,22544,MINI JIGSAW SPACEBOY,124,4414,1628.3,0.41,101
Uncategorised,23270,SET OF 2 CERAMIC PAINTED HEARTS ,118,1166,1625.9,1.44,96
Candles & Lighting,21494,ROTATING LEAVES T-LIGHT HOLDER,126,1228,1624.73,1.37,79
Kitchenware & Dining,21245,GREEN POLKADOT PLATE ,100,1014,1623.1,1.7,72
Uncategorised,21718,RED METAL BEACH SPADE ,143,1289,1613.67,1.27,106
Candles & Lighting,85035C,ROSE 3 WICK MORRIS BOX CANDLE,107,1105,1611.45,2.18,86
Uncategorised,23214,JINGLE BELL HEART ANTIQUE GOLD,91,765,1610.27,2.18,78
